level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	321	283	-1	
2	1	1	0	0	0	24	119	273	94	-1	
3	1	1	1	0	0	24	119	273	94	-1	
4	1	1	1	1	0	24	119	273	51	-1	
5	1	1	1	1	1	24	119	213	51	21.066751	Mixture
4	1	1	1	2	0	104	177	115	36	-1	
5	1	1	1	2	1	104	177	115	36	82.093338	V-VI
