level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	397	387	-1	
2	1	1	0	0	0	65	157	250	125	-1	
3	1	1	1	0	0	65	157	250	125	-1	
4	1	1	1	1	0	65	157	250	77	-1	
5	1	1	1	1	1	65	160	31	69	69.619637	AY
5	1	1	1	1	2	102	157	213	77	90.099396	esquialter
4	1	1	1	2	0	175	229	38	53	-1	
5	1	1	1	2	1	175	229	38	53	88.304504	I
