level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	364	328	-1	
2	1	1	0	0	0	96	148	244	98	-1	
3	1	1	1	0	0	96	148	244	98	-1	
4	1	1	1	1	0	96	148	244	45	-1	
5	1	1	1	1	1	96	148	179	45	83.062553	Gedackt
4	1	1	1	2	0	170	206	30	40	-1	
5	1	1	1	2	1	170	206	30	40	96.959427	8
