level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	422	427	-1	
2	1	1	0	0	0	129	171	154	156	-1	
3	1	1	1	0	0	129	171	154	156	-1	
4	1	1	1	1	0	129	171	154	82	-1	
5	1	1	1	1	1	129	171	154	82	82.997246	Sifflet
4	1	1	1	2	0	168	264	81	63	-1	
5	1	1	1	2	1	168	264	81	63	73.146049	11/3
