level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	339	317	-1	
2	1	1	0	0	0	53	140	230	96	-1	
3	1	1	1	0	0	53	140	230	96	-1	
4	1	1	1	1	0	53	140	230	55	-1	
5	1	1	1	1	1	53	140	230	55	91.781586	Quintadena
4	1	1	1	2	0	57	196	136	40	-1	
5	1	1	1	2	1	57	196	136	40	0.000000	16
