level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	391	230	-1	
2	1	1	0	0	0	24	87	343	63	-1	
3	1	1	1	0	0	24	87	343	63	-1	
4	1	1	1	1	0	24	87	343	63	-1	
5	1	1	1	1	1	24	105	36	29	74.100594	©
5	1	1	1	1	2	100	87	176	63	95.041420	Pedal
5	1	1	1	1	3	318	112	49	29	21.376390	e
