level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	405	418	-1	
2	1	1	0	0	0	104	166	179	161	-1	
3	1	1	1	0	0	104	166	179	161	-1	
4	1	1	1	1	0	104	166	179	79	-1	
5	1	1	1	1	1	104	166	179	79	93.070084	Scharff
4	1	1	1	2	0	117	261	160	66	-1	
5	1	1	1	2	1	117	261	160	66	71.080383	IV-VI
