level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	344	324	-1	
2	1	1	0	0	0	24	143	296	98	-1	
3	1	1	1	0	0	24	143	296	98	-1	
4	1	1	1	1	0	24	143	296	46	-1	
5	1	1	1	1	1	24	144	1	18	18.508368	‘
5	1	1	1	1	2	86	143	162	46	73.024101	Dalcian
4	1	1	1	2	0	159	201	25	40	-1	
5	1	1	1	2	1	159	201	25	40	96.739113	8
